AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5,PCP_PC,PCP_PO,PCP_NP,PCP_CY,PCP_AR,PCP_BS,PCP_HB,PCP_HL,PCP_SC,PCP_SM,PCP_LR,DDR_A,DDR_C,DDR_D,DDR_E,DDR_F,DDR_G,DDR_H,DDR_I,DDR_K,DDR_L,DDR_M,DDR_N,DDR_P,DDR_Q,DDR_R,DDR_S,DDR_T,DDR_V,DDR_W,DDR_Y,RRI_A,RRI_C,RRI_D,RRI_E,RRI_F,RRI_G,RRI_H,RRI_I,RRI_K,RRI_L,RRI_M,RRI_N,RRI_P,RRI_Q,RRI_R,RRI_S,RRI_T,RRI_V,RRI_W,RRI_Y,Class
0.0,7.31,1.19,7.31,3.56,10.67,7.91,0.59,4.94,6.72,0.0,0.79,3.36,5.73,13.64,7.11,8.1,5.93,1.38,3.75,0.873,-0.228,-0.416,0.012,-0.179,0.265,0.32,0.322,0.034,0.087,0.265,0.37,0.306,0.073,0.445,0.555,27.81,144.86,55.95,59.38,29.7,38.41,131.72,62.54,74.72,34.45,86.23,72.5,16.09,42.51,97.66,13.6,19.87,69.44,319.53,56.64,1.34,1.0,1.0,1.1,1.0,2.35,1.0,1.0,1.11,1.07,1.17,1.12,1.23,1.31,1.09,1.73,1.26,1.14,1.0,1.0,DNA
7.69,1.5,3.19,3.75,4.88,6.38,2.06,3.0,3.56,5.63,2.25,3.0,12.95,4.88,4.13,16.89,8.63,2.63,0.19,2.81,0.338,-0.537,0.151,-0.418,0.336,0.098,0.347,0.456,0.129,0.079,0.098,0.493,0.257,0.038,0.629,0.371,20.86,134.67,59.5,36.47,53.77,20.9,56.54,95.6,79.59,37.66,83.64,89.81,78.29,67.08,62.11,34.83,80.51,43.08,195.22,72.32,1.63,1.0,1.4,1.16,1.17,2.26,4.75,1.0,1.12,1.0,1.0,1.0,1.3,1.15,1.11,1.37,1.0,1.0,1.0,1.0,DNA
11.61,1.42,2.83,7.08,3.4,16.15,9.07,1.13,4.53,7.65,1.7,1.42,7.65,3.68,5.38,7.65,1.98,3.4,0.28,1.98,0.685,-0.702,-0.014,-0.082,0.262,0.19,0.167,0.53,0.076,0.057,0.19,0.402,0.28,0.031,0.541,0.459,21.08,64.32,67.15,23.86,132.32,13.79,98.91,50.93,63.52,23.27,103.76,122.39,19.23,29.99,43.2,30.17,28.48,20.54,63.61,115.84,1.13,1.0,1.0,1.78,1.0,1.37,1.0,1.12,1.13,1.05,1.0,1.0,1.1,1.0,1.26,1.14,1.0,1.12,1.0,1.0,DNA
7.67,1.49,1.73,8.91,1.24,12.13,1.49,3.96,3.71,9.16,0.99,2.48,10.4,4.7,5.69,6.93,5.69,8.42,2.23,0.99,0.175,-0.834,-0.253,-0.46,0.249,0.109,0.198,0.562,0.104,0.045,0.109,0.512,0.238,0.025,0.569,0.431,16.67,129.4,26.72,38.06,51.2,27.6,69.72,28.63,72.22,15.45,197.77,49.35,29.14,20.35,33.74,35.01,62.97,41.93,45.37,53.63,1.42,1.0,1.0,1.0,1.11,1.13,1.0,1.08,1.14,1.38,1.0,1.14,1.0,1.23,1.19,1.08,1.0,1.0,1.0,1.0,DNA
12.81,0.83,5.58,4.55,3.72,6.2,2.27,5.17,2.89,10.95,1.45,2.89,7.23,8.88,6.4,5.17,3.51,2.89,3.72,2.89,-0.029,-0.312,-0.218,-0.278,0.295,0.116,0.213,0.541,0.072,0.103,0.116,0.523,0.217,0.023,0.471,0.529,54.48,51.28,80.16,38.14,44.69,35.83,61.45,142.05,17.25,23.21,146.65,33.98,23.55,40.61,36.45,17.58,35.46,34.1,245.99,54.27,1.19,1.2,1.0,1.23,1.38,1.08,1.0,1.0,1.24,1.23,1.0,1.0,1.08,1.0,1.65,1.37,1.08,1.17,1.0,1.0,DNA
4.99,4.75,2.38,6.18,4.99,5.7,3.33,2.14,8.08,6.18,1.43,4.28,5.94,5.23,9.5,10.21,6.18,5.46,0.71,2.38,0.639,-0.228,-0.271,-0.191,0.025,0.209,0.287,0.375,0.059,0.081,0.209,0.428,0.311,0.062,0.499,0.501,36.14,173.46,49.86,32.44,38.61,32.57,79.33,62.56,41.14,27.01,129.16,51.85,32.76,42.14,42.42,19.17,34.84,22.49,102.49,179.31,1.23,1.0,1.27,1.19,1.0,1.14,1.0,1.0,1.3,1.14,1.35,1.08,1.2,1.26,1.21,1.32,1.12,1.04,1.0,1.25,DNA
6.47,1.65,4.51,8.12,4.51,6.47,2.71,3.16,4.96,6.47,2.56,3.91,7.67,4.66,5.71,11.28,5.11,7.07,1.8,1.2,0.402,-0.405,-0.111,-0.406,0.175,0.134,0.239,0.462,0.077,0.075,0.134,0.465,0.25,0.042,0.541,0.459,32.8,93.03,27.66,20.94,37.83,25.63,63.15,87.31,47.36,20.44,82.08,86.94,39.37,54.19,28.95,19.78,35.37,46.55,71.46,61.33,1.09,1.0,1.08,1.25,1.0,1.07,1.0,1.22,1.38,1.11,1.0,1.15,1.09,1.12,1.08,1.29,1.1,1.0,1.0,1.57,DNA
5.63,1.53,6.65,8.18,3.84,7.42,2.05,2.3,6.65,9.21,2.05,3.32,5.63,4.09,6.39,10.49,5.12,3.58,2.3,3.58,0.506,-0.255,-0.157,-0.421,0.131,0.151,0.248,0.419,0.056,0.097,0.151,0.412,0.24,0.036,0.494,0.506,21.03,232.47,28.67,20.86,97.2,30.21,172.45,56.11,41.24,30.21,136.54,131.15,52.81,65.56,37.97,47.48,25.43,26.42,133.64,96.18,1.29,1.0,1.4,1.56,1.0,1.08,1.0,1.0,1.12,1.18,1.0,1.0,1.0,1.18,1.06,1.0,1.0,1.21,1.5,1.0,DNA
13.3,0.21,9.66,10.73,1.5,5.36,0.64,4.29,7.3,9.44,1.5,1.07,3.86,4.72,7.08,4.29,6.22,6.01,0.86,1.93,0.575,-0.537,-0.423,-0.638,0.322,0.15,0.174,0.461,0.039,0.043,0.15,0.472,0.2,0.017,0.5,0.5,26.5,0.0,23.04,7.82,42.99,20.4,38.68,17.75,10.45,16.49,40.03,25.71,28.68,0.0,22.7,13.54,30.48,22.07,20.76,35.18,1.0,0.0,1.0,1.73,1.0,1.0,1.0,1.4,1.0,1.25,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,DNA
4.17,0.0,5.56,15.28,2.78,6.94,1.39,6.94,12.5,11.11,2.78,5.56,2.78,0.0,4.17,5.56,2.78,4.17,4.17,1.39,0.326,-0.196,-0.447,-0.464,0.036,0.181,0.097,0.458,0.028,0.083,0.181,0.417,0.264,0.028,0.375,0.625,34.27,72.71,26.32,29.47,76.77,24.09,51.8,29.71,35.36,24.79,64.87,43.81,29.58,64.69,45.13,20.3,38.31,52.3,223.02,69.58,1.12,1.0,1.13,1.06,1.1,1.24,1.0,1.0,1.21,1.16,1.0,1.0,1.19,1.0,1.23,1.57,1.05,1.21,1.0,1.0,DNA
