ID,PCP_SS_HE,PCP_SS_ST,PCP_SS_CO,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN
Seq_1,0.34,0.236,0.424,0.319,0.313,0.456
Seq_2,0.507,0.136,0.357,0.45,0.272,0.3
Seq_3,0.423,0.24,0.337,0.463,0.319,0.265
Seq_4,0.502,0.227,0.271,0.463,0.32,0.225
Seq_5,0.449,0.266,0.285,0.349,0.321,0.295
Seq_6,0.417,0.245,0.338,0.376,0.338,0.305
Seq_7,0.442,0.223,0.335,0.358,0.345,0.289
Seq_8,0.547,0.21,0.242,0.41,0.373,0.185
Seq_9,0.514,0.222,0.264,0.403,0.417,0.167
Seq_10,0.387,0.249,0.364,0.377,0.319,0.316
Seq_11,0.459,0.229,0.312,0.403,0.302,0.283
Seq_12,0.513,0.295,0.192,0.474,0.256,0.186
Seq_13,0.458,0.233,0.309,0.402,0.349,0.253
Seq_14,0.592,0.143,0.265,0.321,0.469,0.255
Seq_15,0.463,0.244,0.294,0.395,0.372,0.244
Seq_16,0.524,0.238,0.238,0.352,0.381,0.257
Seq_17,0.415,0.292,0.293,0.426,0.302,0.263
Seq_18,0.376,0.248,0.376,0.448,0.279,0.242
Seq_19,0.547,0.211,0.242,0.484,0.25,0.219
Seq_20,0.531,0.219,0.25,0.477,0.25,0.227
Seq_21,0.577,0.209,0.214,0.434,0.311,0.168
Seq_22,0.384,0.256,0.361,0.374,0.375,0.302
Seq_23,0.409,0.322,0.268,0.379,0.346,0.268
Seq_24,0.436,0.25,0.313,0.335,0.384,0.262
Seq_25,0.52,0.228,0.252,0.37,0.37,0.22
Seq_26,0.354,0.299,0.347,0.388,0.34,0.32
Seq_27,0.598,0.14,0.262,0.439,0.299,0.196
Seq_28,0.479,0.258,0.263,0.433,0.317,0.225
Seq_29,0.457,0.185,0.358,0.364,0.414,0.235
Seq_30,0.368,0.292,0.341,0.384,0.332,0.316
Seq_31,0.348,0.296,0.356,0.391,0.348,0.301
Seq_32,0.413,0.227,0.36,0.435,0.279,0.299
Seq_33,0.528,0.167,0.306,0.417,0.319,0.208
Seq_34,0.421,0.187,0.392,0.358,0.342,0.365
Seq_35,0.542,0.194,0.264,0.389,0.417,0.194
Seq_36,0.43,0.228,0.342,0.43,0.291,0.253
Seq_37,0.429,0.27,0.3,0.361,0.331,0.292
Seq_38,0.521,0.27,0.209,0.484,0.195,0.242
Seq_39,0.48,0.275,0.245,0.402,0.306,0.258
Seq_40,0.454,0.233,0.313,0.346,0.381,0.307
Seq_41,0.588,0.213,0.199,0.397,0.301,0.213
Seq_42,0.596,0.235,0.169,0.412,0.287,0.213
Seq_43,0.596,0.228,0.176,0.404,0.287,0.221
Seq_44,0.588,0.228,0.184,0.412,0.287,0.213
Seq_45,0.578,0.237,0.185,0.407,0.281,0.222
Seq_46,0.603,0.243,0.154,0.412,0.294,0.206
Seq_47,0.55,0.239,0.21,0.417,0.343,0.217
Seq_48,0.432,0.232,0.336,0.399,0.348,0.275
Seq_49,0.427,0.27,0.303,0.438,0.322,0.246
