ID,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5
Seq_1,0.873,-0.228,-0.416,0.012,-0.179
Seq_2,0.338,-0.537,0.151,-0.418,0.336
Seq_3,0.685,-0.702,-0.014,-0.082,0.262
Seq_4,0.175,-0.834,-0.253,-0.46,0.249
Seq_5,-0.029,-0.312,-0.218,-0.278,0.295
Seq_6,0.639,-0.228,-0.271,-0.191,0.025
Seq_7,0.402,-0.405,-0.111,-0.406,0.175
Seq_8,0.506,-0.255,-0.157,-0.421,0.131
Seq_9,0.575,-0.537,-0.423,-0.638,0.322
Seq_10,0.326,-0.196,-0.447,-0.464,0.036
Seq_11,0.392,-0.484,-0.106,-0.409,0.164
Seq_12,0.309,-0.313,-0.118,-0.337,0.223
Seq_13,0.273,-0.345,-0.45,-0.222,0.064
Seq_14,0.613,-0.443,-0.128,-0.212,0.185
Seq_15,0.862,-0.452,-0.674,0.089,0.489
Seq_16,0.347,-0.445,-0.326,-0.4,0.152
Seq_17,0.397,-0.224,-0.382,-0.428,0.14
Seq_18,0.213,-0.546,-0.283,-0.489,0.113
Seq_19,0.699,-0.784,-0.171,-0.558,0.142
Seq_20,0.472,-0.899,-0.652,-0.202,0.316
Seq_21,0.466,-0.892,-0.665,-0.217,0.3
Seq_22,0.151,-0.236,-0.602,-0.449,0.133
Seq_23,0.292,-0.52,-0.14,-0.535,0.196
Seq_24,0.142,-0.32,-0.371,-0.395,0.049
Seq_25,0.604,-0.22,-0.251,-0.494,0.047
Seq_26,0.471,-0.29,-0.357,-0.58,0.071
Seq_27,-0.066,-0.209,-0.028,-0.253,0.18
Seq_28,0.589,-0.703,-0.621,-0.376,0.291
Seq_29,0.282,-0.349,-0.214,-0.439,0.084
Seq_30,0.946,-0.585,-0.243,-0.461,0.232
Seq_31,0.278,-0.408,-0.104,-0.356,0.117
Seq_32,0.224,-0.39,-0.1,-0.363,0.084
Seq_33,0.285,-0.503,-0.076,-0.225,0.196
Seq_34,0.612,-0.666,-0.405,-0.584,0.14
Seq_35,0.372,-0.445,0.087,-0.209,0.266
Seq_36,0.199,-0.283,-0.353,-0.536,0.202
Seq_37,0.23,-0.595,-0.305,-0.545,0.313
Seq_38,0.455,-0.343,-0.382,-0.306,0.157
Seq_39,0.128,-0.691,-0.549,-0.296,0.244
Seq_40,0.1,-0.347,-0.437,-0.332,0.106
Seq_41,0.434,-0.297,-0.2,-0.365,0.201
Seq_42,0.509,-0.391,-0.835,-0.181,0.324
Seq_43,0.408,-0.416,-0.766,-0.123,0.256
Seq_44,0.419,-0.411,-0.785,-0.135,0.28
Seq_45,0.446,-0.433,-0.787,-0.155,0.287
Seq_46,0.442,-0.449,-0.754,-0.199,0.252
Seq_47,0.373,-0.391,-0.807,-0.102,0.256
Seq_48,0.099,-0.18,-0.536,-0.204,0.239
Seq_49,0.764,-0.641,-0.134,-0.339,0.143
Seq_50,0.206,-0.462,-0.119,-0.45,0.116
Seq_51,0.172,-0.526,-0.097,-0.404,0.164
Seq_52,0.07,-0.836,-0.5,-0.632,0.147
Seq_53,0.622,-0.486,-0.295,-0.739,0.243
Seq_54,0.248,-0.391,-0.295,-0.416,0.053
Seq_55,0.498,-0.773,-0.588,-0.612,0.153
Seq_56,0.104,-0.76,-0.268,-0.505,0.298
Seq_57,0.188,-0.294,-0.233,-0.43,0.039
Seq_58,0.128,-0.48,-0.304,-0.329,0.102
Seq_59,0.373,-0.142,-0.403,-0.475,0.114
Seq_60,-0.154,-0.639,-0.198,-0.377,-0.173
Seq_61,-0.086,-0.409,-0.388,-0.3,0.129
Seq_62,0.441,-0.048,-0.501,-0.333,-0.059
Seq_63,0.63,-0.569,-0.191,-0.476,0.144
Seq_64,0.107,-0.102,-0.298,-0.453,-0.059
Seq_65,0.189,-0.14,0.068,-0.271,0.273
Seq_66,0.3,-0.017,0.037,-0.27,0.148
Seq_67,0.317,-0.307,-0.301,-0.465,0.246
Seq_68,0.274,-0.461,-0.17,-0.418,0.086
Seq_69,0.681,-0.348,-0.354,-0.427,0.204
Seq_70,0.201,-0.194,-0.196,-0.377,0.066
Seq_71,0.345,-0.59,-0.153,-0.414,0.252
Seq_72,0.106,-0.147,-0.317,-0.354,0.017
Seq_73,0.219,-0.519,-0.042,-0.512,0.364
Seq_74,0.478,-0.547,-0.102,-0.397,0.119
Seq_75,0.208,-0.645,-0.07,-0.324,0.138
Seq_76,0.102,-0.929,-0.339,-0.431,0.385
Seq_77,0.19,-0.334,-0.366,-0.384,0.12
Seq_78,-0.028,-0.323,-0.35,-0.328,0.163
Seq_79,0.868,-0.475,-0.201,-0.387,0.134
Seq_80,-0.002,-0.51,-0.345,-0.125,0.226
Seq_81,0.227,-0.351,-0.094,-0.385,0.129
Seq_82,0.003,-0.465,-0.087,-0.496,0.354
Seq_83,0.191,-0.505,-0.125,-0.33,0.167
Seq_84,0.195,-0.277,-0.207,-0.498,0.137
Seq_85,0.395,-0.095,-0.291,-0.365,0.034
Seq_86,0.258,-0.364,-0.408,-0.405,0.105
Seq_87,0.282,-0.295,-0.233,-0.262,0.023
Seq_88,0.16,-0.287,-0.654,-0.718,0.044
Seq_89,-0.054,-0.382,-0.362,-0.519,0.028
Seq_90,1.047,0.18,0.174,-0.503,-0.307
Seq_91,0.226,-0.194,-0.431,-0.406,0.062
Seq_92,0.528,-0.405,-0.198,-0.41,0.165
Seq_93,0.782,-0.268,-0.492,-0.611,0.092
Seq_94,0.425,-0.321,-0.034,-0.315,0.231
Seq_95,0.315,-0.39,-0.116,-0.335,0.196
Seq_96,0.311,-0.274,-0.543,-0.581,0.072
Seq_97,0.013,-0.687,-0.59,-0.492,0.334
Seq_98,0.733,-0.285,-0.253,-0.333,0.079
Seq_99,0.781,-0.11,-0.226,-0.258,0.131
