ID,DDR_A,DDR_C,DDR_D,DDR_E,DDR_F,DDR_G,DDR_H,DDR_I,DDR_K,DDR_L,DDR_M,DDR_N,DDR_P,DDR_Q,DDR_R,DDR_S,DDR_T,DDR_V,DDR_W,DDR_Y
Seq_1,16.20,96.79,29.69,22.80,24.92,16.82,35.19,32.91,27.25,23.87,95.60,52.76,22.76,0.00,45.72,14.95,19.18,20.19,49.82,60.63
Seq_2,66.24,50.90,15.31,18.67,15.09,21.29,22.96,20.99,16.71,18.11,100.60,17.76,40.96,62.56,33.80,17.39,47.95,32.38,55.24,55.09
Seq_3,17.77,90.63,62.69,34.30,23.91,20.61,118.65,25.82,46.51,11.60,39.17,27.45,11.80,62.28,50.36,37.31,40.05,20.78,45.85,54.43
Seq_4,40.25,48.06,17.29,20.71,21.80,21.17,32.97,38.72,9.27,6.66,88.01,28.01,27.56,29.49,42.43,67.90,30.09,22.45,0.00,22.40
Seq_5,13.58,0.00,12.33,84.08,83.33,28.93,97.64,28.59,24.89,13.39,160.18,44.38,60.03,28.83,126.62,14.68,14.99,29.73,0.00,0.00
Seq_6,23.49,193.37,41.76,40.00,53.10,28.41,85.13,92.26,58.28,15.52,81.23,46.40,32.92,38.53,29.62,29.10,32.31,22.39,49.73,44.74
Seq_7,26.01,139.07,24.67,32.83,35.22,37.73,50.07,22.75,22.78,18.08,165.93,37.95,45.71,72.90,50.93,24.74,26.97,30.04,129.78,48.85
Seq_8,28.81,53.30,22.84,59.79,28.48,33.11,43.44,33.88,34.85,19.76,75.17,54.69,44.58,46.42,49.01,49.28,29.16,20.88,252.72,61.04
Seq_9,13.58,133.55,33.32,22.13,77.54,21.48,71.74,28.99,37.42,16.63,61.08,41.51,40.68,43.27,31.77,31.19,46.47,22.91,238.94,34.40
Seq_10,23.58,197.89,35.98,76.92,36.39,29.81,47.56,33.01,47.26,17.38,62.12,25.02,23.89,52.89,58.40,22.69,31.15,23.09,81.24,29.88
Seq_11,54.57,112.47,44.09,18.85,77.43,32.54,70.19,21.30,13.51,15.69,98.69,35.31,26.11,63.22,142.95,34.23,41.54,33.14,113.81,41.21
Seq_12,14.50,159.99,31.39,36.71,55.43,20.78,74.32,69.80,64.49,24.82,39.94,42.53,44.15,42.28,39.75,37.46,39.44,30.41,89.62,31.89
Seq_13,17.01,285.77,41.09,24.57,33.96,24.59,140.98,19.45,27.22,32.45,64.00,39.11,19.32,53.52,206.46,53.83,46.80,43.69,53.63,38.26
Seq_14,23.33,70.61,26.24,34.10,33.22,26.30,52.10,21.98,24.01,22.87,82.50,35.71,43.53,39.01,60.56,24.57,29.64,21.61,154.51,69.72
Seq_15,31.37,298.19,25.06,44.89,50.84,22.83,132.36,30.26,19.18,21.92,156.93,20.03,18.72,45.36,78.24,26.32,28.52,27.80,135.70,49.36
Seq_16,23.62,74.96,17.35,89.59,24.47,14.78,0.00,23.32,31.01,18.19,67.14,30.94,28.39,18.59,117.20,55.86,11.35,11.36,0.00,56.41
Seq_17,28.93,0.00,29.00,38.10,32.64,14.68,65.40,35.06,20.57,103.00,88.57,41.35,35.33,29.76,45.08,42.40,42.66,19.30,0.00,81.91
Seq_18,17.25,0.00,42.59,22.96,50.74,19.03,68.71,32.67,26.13,20.78,75.06,51.46,29.91,54.51,38.92,29.45,25.59,22.40,165.97,87.85
Seq_19,16.05,95.76,25.13,37.47,28.38,17.72,76.41,31.93,19.84,25.21,29.97,53.16,51.44,39.90,139.96,29.12,26.00,30.28,155.03,40.28
Seq_20,57.61,54.72,23.68,31.36,50.33,26.35,128.46,41.34,36.29,25.83,84.25,49.65,42.05,48.96,38.29,23.06,36.82,27.89,140.59,74.43
