ID,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5
Seq_1,0.058,-0.746,-0.184,-0.448,0.159
Seq_2,0.16,-0.202,-0.114,-0.316,-0.063
Seq_3,-0.92,-0.634,-0.183,-0.262,0.262
Seq_4,-0.198,-0.288,-0.564,-0.303,0.205
Seq_5,0.188,-0.986,-0.22,-0.745,0.449
Seq_6,0.03,-0.347,-0.29,-0.315,0.13
Seq_7,0.176,-0.482,-0.241,-0.489,0.103
Seq_8,0.226,-0.656,-0.202,-0.469,0.19
Seq_9,0.056,-0.688,-0.271,-0.47,0.21
Seq_10,-0.292,-0.316,-0.107,-0.261,0.054
Seq_11,0.069,-0.221,-0.448,-0.337,0.051
Seq_12,0.17,-0.525,-0.057,-0.354,0.065
Seq_13,-0.212,-0.52,-0.141,-0.455,0.144
Seq_14,0.271,-0.548,-0.336,-0.466,0.113
Seq_15,0.141,-0.435,-0.205,-0.458,0.113
Seq_16,-0.293,-0.85,-0.29,-0.735,0.132
Seq_17,0.543,-0.728,-0.482,-0.365,0.091
Seq_18,0.079,-0.816,-0.308,-0.445,0.273
Seq_19,0.083,-0.745,-0.206,-0.525,0.133
Seq_20,0.388,-0.55,0.01,-0.515,-0.044
Seq_21,0.293,-0.601,-0.099,-0.578,-0.022
Seq_22,-0.069,-0.762,-0.351,-0.477,0.114
Seq_23,0.384,-0.289,-0.376,-0.44,0.11
Seq_24,0.082,-0.378,-0.168,-0.322,0.046
Seq_25,-0.006,-0.87,-0.276,-0.428,0.183
Seq_26,-0.158,-0.421,-0.266,-0.356,0.118
Seq_27,0.216,-0.758,-0.469,-0.286,0.133
Seq_28,0.104,-0.464,-0.41,-0.431,0.126
Seq_29,0.132,-0.598,-0.287,-0.471,0.232
Seq_30,0.08,-0.657,-0.156,-0.289,0.189
Seq_31,0.122,-0.584,-0.354,-0.533,0.006
Seq_32,0.365,-0.3,-0.22,-0.437,0.115
Seq_33,0.21,-0.784,-0.031,-0.602,0.361
Seq_34,0.044,-0.487,-0.145,-0.44,0.032
Seq_35,-0.211,-0.415,-0.522,-0.756,0.083
Seq_36,-0.046,-0.654,-0.22,-0.339,0.068
Seq_37,0.061,-0.589,-0.188,-0.24,0.147
Seq_38,0.341,-0.799,-0.163,-0.439,0.113
Seq_39,0.039,-0.528,-0.229,-0.278,0.213
Seq_40,-0.311,-0.592,-0.518,-0.515,0.151
Seq_41,0.078,-0.672,-0.247,-0.443,-0.045
Seq_42,-0.079,-0.542,-0.103,-0.438,0.178
Seq_43,0.04,-0.217,-0.217,-0.574,-0.024
Seq_44,0.409,-0.315,-0.621,0.053,0.155
Seq_45,0.534,-0.53,-0.111,-0.45,0.009
Seq_46,0.023,-0.456,-0.39,-0.424,-0.039
Seq_47,-0.993,-0.458,-0.183,-0.085,0.068
Seq_48,0.558,-0.285,-0.374,-0.246,0.105
Seq_49,0.534,-0.438,-0.077,-0.081,0.064
Seq_50,0.082,-0.128,-0.251,-0.243,0.095
Seq_51,0.176,-0.706,-0.248,-0.227,0.203
Seq_52,0.264,-0.807,-0.359,-0.61,0.037
Seq_53,0.569,-0.288,-0.392,-0.333,0.028
Seq_54,0.237,-0.83,-0.394,-0.568,0.228
Seq_55,0.251,-0.51,-0.026,-0.307,0.319
Seq_56,0.076,-0.476,-0.38,-0.535,0.178
Seq_57,0.163,-0.516,-0.165,-0.435,0.111
Seq_58,0.046,-0.556,-0.156,-0.333,0.254
Seq_59,0.425,-0.402,-0.217,-0.632,-0.062
Seq_60,0.152,-0.637,-0.283,-0.398,0.215
Seq_61,0.103,-0.211,-0.507,-0.496,0.07
Seq_62,0.211,-0.563,-0.471,-0.548,0.097
Seq_63,-0.059,-0.625,-0.066,-0.446,0.044
Seq_64,0.154,-0.42,-0.363,-0.397,0.127
Seq_65,0.195,-0.751,-0.348,-0.49,0.092
Seq_66,1.442,0.066,-0.541,-0.02,0.237
Seq_67,0.374,-0.373,-0.192,-0.697,0.012
Seq_68,-0.02,-0.701,-0.346,-0.539,0.283
Seq_69,0.018,-0.692,-0.189,-0.406,0.269
Seq_70,0.029,-0.426,-0.304,-0.33,0.095
